City,Country,Max Temp,Humidity,Clouds,Wind Speed,Lat,Lng
quchan,IR,27.92,80,0,5.37,37.11,58.51
villa rica,PE,69.23,95,88,1.74,-10.74,-75.27
bentiu,,,,,,,
vagur,FO,47.27,91,68,20.31,61.47,-6.81
saucillo,MX,75.08,9,0,2.01,28.03,-105.29
zwedru,LR,75.48,86,0,6.11,6.07,-8.13
banjar,ID,73.86,92,20,3.09,-7.37,108.54
aklavik,CA,21.2,73,75,3.36,68.22,-135.01
yerbogachen,RU,12.17,71,68,6.04,61.28,108.01
coos bay,US,39.2,96,90,10.29,43.37,-124.22
ilebo,CD,70.98,99,88,2.35,-4.33,20.59
kununurra,AU,86.0,62,0,3.36,-15.77,128.74
sao raimundo nonato,,,,,,,
pathein,MM,63.47,88,0,3.24,16.78,94.73
kollam,IN,82.4,78,20,2.57,8.88,76.6
awjilah,LY,48.48,76,0,9.57,29.14,21.3
mogadishu,SO,80.39,99,76,19.42,2.04,45.34
karera,IN,54.06,93,12,8.23,25.46,78.13
jalingo,NG,72.74,46,44,6.71,10.21,12.82
jackson,US,55.4,57,1,2.46,35.61,-88.82
odweyne,,,,,,,
nantucket,US,26.6,27,1,18.34,41.28,-70.1
burica,,,,,,,
nanortalik,GL,29.04,100,0,15.77,60.14,-45.24
ambon,FR,46.99,87,0,4.7,47.55,-2.56
pinega,RU,7.67,75,0,6.38,64.7,43.39
atasu,KZ,21.08,90,88,10.4,48.68,71.64
pendleton,US,62.6,62,90,4.54,34.65,-82.78
ostrovnoy,RU,18.24,86,36,23.38,68.05,39.51
luba,PH,69.36,70,0,6.38,17.32,120.7
samarai,PG,82.23,100,0,6.49,-10.62,150.67
wattegama,LK,69.05,94,64,1.97,7.35,80.68
mount gambier,AU,69.8,52,0,8.05,-37.83,140.78
gunjur,GM,71.6,53,8,4.7,13.18,-16.76
samana,EC,87.36,42,0,2.08,0.12,-76.97
novato,US,55.4,93,75,10.29,38.11,-122.57
wahran,,,,,,,
helong,CN,59.19,91,76,3.24,25.94,116.13
rozvadiv,UA,39.0,95,90,6.71,49.5,23.96
gorontalo,ID,76.61,85,12,2.46,0.54,123.06
ambulu,ID,79.85,100,0,3.2,-8.35,113.61
cabedelo,BR,82.4,83,20,4.7,-6.97,-34.84
athabasca,CA,11.99,81,32,8.57,54.72,-113.29
ponca city,US,33.01,100,90,13.87,36.73,-97.07
hami,CN,16.22,62,0,8.01,42.84,93.51
san jose,PH,69.68,88,8,2.68,15.79,120.99
margate,AU,64.0,42,20,5.82,-43.03,147.26
katangli,RU,16.26,97,32,17.11,51.71,143.23
korla,,,,,,,
kamaishi,JP,33.8,69,20,5.82,39.28,141.86
smithers,CA,24.8,41,5,3.36,54.78,-127.17
kimberley,ZA,69.8,32,0,9.17,-28.74,24.76
umzimvubu,,,,,,,
tarudant,,,,,,,
solovetskiy,,,,,,,
kasungu,MW,60.86,88,0,2.75,-13.04,33.48
svetlyy,,,,,,,
florianopolis,BR,73.99,83,75,6.93,-27.6,-48.55
thinadhoo,MV,81.11,100,48,11.07,0.53,72.93
baykit,RU,10.01,76,64,6.04,61.68,96.39
luena,AO,64.28,94,68,2.19,-11.78,19.91
lewisporte,CA,23.0,79,90,23.04,49.25,-55.06
anshun,CN,49.07,75,20,4.54,26.25,105.93
miandrivazo,MG,71.03,97,32,2.75,-19.53,45.46
song phi nong,TH,86.0,73,24,2.3,14.23,100.04
mongo,CF,69.5,99,36,3.2,4.83,22.92
tigzirt,DZ,32.46,87,20,2.01,36.57,4.2
bam,IR,26.39,58,0,2.68,29.11,58.36
sorong,ID,81.74,100,68,7.9,-0.86,131.25
jiuquan,CN,-4.44,71,0,3.69,39.73,98.49
salinopolis,BR,78.09,100,100,11.25,-0.61,-47.36
dunedin,NZ,51.68,86,8,14.16,-45.87,170.5
khonuu,,,,,,,
tuatapere,NZ,50.0,86,92,11.99,-46.13,167.69
pangnirtung,CA,-15.47,67,0,2.75,66.15,-65.72
sao joao da barra,BR,83.36,95,0,20.58,-21.64,-41.05
raton,US,62.6,18,1,17.22,36.9,-104.44
suntar,RU,12.89,70,68,6.89,62.16,117.65
kamiichi,JP,44.01,80,75,2.24,36.7,137.36
brigantine,US,39.2,44,90,9.17,39.41,-74.36
puri,ID,82.4,88,40,3.36,-7.54,112.45
atyashevo,RU,25.58,94,80,3.58,54.56,46.07
vanimo,PG,81.74,100,64,5.32,-2.67,141.3
taltal,CL,62.88,77,0,2.57,-25.41,-70.49
aripuana,BR,75.62,87,0,2.08,-9.17,-60.63
kajaani,FI,30.2,86,90,9.17,64.22,27.73
mackay,CA,19.4,48,20,11.41,53.65,-115.58
nakamura,JP,51.01,49,75,6.93,35.17,136.87
dalaba,GN,63.96,55,20,2.8,10.69,-12.25
nenjiang,CN,19.41,65,0,10.8,49.17,125.23
ligayan,PH,79.98,100,0,10.63,4.65,119.47
benguela,AO,78.68,100,64,6.71,-12.58,13.4
hwange,ZW,68.78,79,36,10.29,-18.35,26.5
tilichiki,RU,13.79,81,80,12.41,60.47,166.1
passos,BR,71.43,89,56,3.36,-20.72,-46.61
belz,UA,37.4,87,90,6.71,50.38,24.01
brownsville,US,78.8,88,75,12.75,25.91,-97.49
aleksandrovka,RU,29.9,92,88,6.82,46.65,38.4
pa daet,TH,62.6,100,32,1.12,19.5,99.99
zabaykalsk,CN,8.61,59,0,3.53,49.64,117.33
sardarshahr,IN,43.4,83,20,2.57,28.43,74.48
bondo,CD,72.11,91,24,2.86,3.81,23.69
naze,NG,75.2,94,40,1.45,5.43,7.07
nouadhibou,MR,69.8,37,0,13.87,20.93,-17.03
alyangula,AU,84.2,79,32,2.24,-13.85,136.42
bambous virieux,MU,80.6,83,40,12.75,-20.34,57.76
bonavista,CA,21.0,80,88,31.43,48.65,-53.11
daru,SL,78.41,63,0,9.06,7.99,-10.85
djambala,CG,71.12,94,88,3.98,-2.55,14.76
yuksekova,TR,37.4,93,75,13.87,37.57,44.29
tura,IN,53.93,87,8,3.2,25.52,90.21
